Replicate,Date,Pre incubation,Incubation ID,Incubation temperauture,ID,UUID
1,11/18/2022,-2,A,2,A-2-1,8656c258-a0e4-4755-81ed-f1d862112621
2,11/18/2022,-2,A,2,A-2-2,04cbe581-cd60-44ff-8322-e3c9d0f83b9b
3,11/18/2022,-2,A,2,A-2-3,5476356e-c64f-4057-80c1-f75c811fd36e
1,11/18/2022,-6,A,2,A-6-1,23e00139-06b9-4e24-9999-02f36c313389
2,11/18/2022,-6,A,2,A-6-2,0377bae3-d808-4dde-a8a3-9b68d5ef26de
3,11/18/2022,-6,A,2,A-6-3,537028bc-b721-4650-9b07-7e9a120a86d5
1,11/18/2022,-2,B,4,B-2-1,440dba45-293d-4a1b-bd7e-25ab39357fa2
2,11/18/2022,-2,B,4,B-2-2,8245ad28-be7f-4252-a46d-5fd861c420f5
3,11/18/2022,-2,B,4,B-2-3,1d3baff5-e4c8-4a89-a6c1-8cff831fec47
1,11/18/2022,-6,B,4,B-6-1,a045cdb7-4657-4366-ab08-a49b9c9780ae
2,11/18/2022,-6,B,4,B-6-2,ed8616cf-0423-43c6-a1dd-ec97431309c9
3,11/18/2022,-6,B,4,B-6-3,44e660ac-df81-410a-b264-e345291f1872
1,11/18/2022,-2,C,6,C-2-1,dd528c4e-3d60-40c8-b3a6-accce911cbf9
2,11/18/2022,-2,C,6,C-2-2,3efde34c-2e51-4560-bfcb-164de36e563e
3,11/18/2022,-2,C,6,C-2-3,96d60bed-37ab-4d96-818d-e43353b81425
1,11/18/2022,-6,C,6,C-6-1,d8d73f99-589b-4559-97b6-107d71c0688c
2,11/18/2022,-6,C,6,C-6-2,fce12027-06e4-41d8-9c98-645c90cdf058
3,11/18/2022,-6,C,6,C-6-3,580e2f97-ae86-4b45-ae91-5f8be28d57f1
1,11/18/2022,-2,D,8,D-2-1,a3edfe91-4286-4ded-9d74-6e59008a0f0b
2,11/18/2022,-2,D,8,D-2-2,587708ea-5a51-49ee-b7b2-aaff43016145
3,11/18/2022,-2,D,8,D-2-3,571d8331-5027-49c6-9ee0-362ed7654dc5
1,11/18/2022,-6,D,8,D-6-1,48c5aae9-6684-4f19-bea2-28698eed6d5b
2,11/18/2022,-6,D,8,D-6-2,dc8d0e75-f57d-4236-9ef5-523c6bd7e2e1
3,11/18/2022,-6,D,8,D-6-3,da4b7b0d-51ea-43e9-9db0-768352f0dc52
1,11/18/2022,-2,E,10,E-2-1,51bdcfb0-b98e-4b6d-9271-f857553c99ee
2,11/18/2022,-2,E,10,E-2-2,1c00ea1c-ab85-41b9-9713-7f74f1aaa2fb
3,11/18/2022,-2,E,10,E-2-3,4270be4e-67fc-4f42-811c-bb85d271bf86
1,11/18/2022,-6,E,10,E-6-1,a5f82baa-555e-48ef-bc79-8febae160345
2,11/18/2022,-6,E,10,E-6-2,3bac6092-7564-4731-8411-8b5f2df33f3f
3,11/18/2022,-6,E,10,E-6-3,cefe1d73-c95e-430f-a38a-130e61f11fc9
1,11/13/2022,-2,Pre,Pre,Pre-2-1,0301b210-e061-4847-8236-55b4604e86b9
2,11/13/2022,-2,Pre,Pre,Pre-2-2,d07b9001-0b93-4a1a-92b7-70b238a58a2c
3,11/13/2022,-2,Pre,Pre,Pre-2-3,392fb7a7-e664-482e-90e7-87a2b5fbaa6e
1,11/13/2022,-6,Pre,Pre,Pre-6-1,504ecbd1-d7bc-4c8f-9ec9-1d345bff218d
2,11/13/2022,-6,Pre,Pre,Pre-6-2,a389c91b-9593-4b0f-84e7-b911e099c3e3
3,11/13/2022,-6,Pre,Pre,Pre-6-3,dec78bde-1a26-4368-a537-5b480888b90b
,,,,,Source material,e6b98a07-c63b-47a7-b872-e99320205b34
