Sample,Pre,Inc
Wein_51407_22_Pre_2_2_L_Neg,-2,T0
Wein_51407_5_C_6_2_L_Neg,-6,6
Wein_51407_18_B_6_3_L_Neg,-6,4
Wein_51407_31_B_2_1_L_Neg,-2,4
Wein_51407_9_E_2_1_L_Neg,-2,10
Wein_51407_4_B_2_2_L_Neg,-2,4
Wein_51407_1_B_2_3_L_Neg,-2,4
Wein_51407_15_D_6_2_L_Neg,-6,8
Wein_51407_11_D_2_2_L_Neg,-2,8
Wein_51407_2_Pre_6_3_L_Neg,-6,T0
Wein_51407_23_D_6_1_L_Neg,-6,8
Wein_51407_21_B_6_2_L_Neg,-6,4
Wein_51407_29_A_2_3_L_Neg,-2,2
Wein_51407_32_B_6_1_L_Neg,-6,4
Wein_51407_16_A_6_2_L_Neg,-6,2
Wein_51407_28_C_2_3_L_Neg,-2,6
Wein_51407_27_E_6_2_L_Neg,-6,10
Wein_51407_36_Pre_2_1_L_Neg,-2,T0
Wein_51407_10_E_6_3_L_Neg,-6,10
Wein_51407_3_C_6_3_L_Neg,-6,6
Wein_51407_12_E_6_1_L_Neg,-6,10
Wein_51407_8_E_2_2_L_Neg,-2,10
Wein_51407_17_A_6_3_L_Neg,-6,2
Wein_51407_6_D_6_3_L_Neg,-6,8
Wein_51407_34_D_2_3_L_Neg,-2,8
Wein_51407_24_D_2_1_L_Neg,-2,8
Wein_51407_35_Pre_6_1_L_Neg,-6,T0
Wein_51407_25_A_6_1_L_Neg,-6,2
Wein_51407_33_A_2_2_L_Neg,-2,2
Wein_51407_7_Pre_6_2_L_Neg,-6,T0
Wein_51407_30_C_2_1_L_Neg,-2,6
Wein_51407_20_Pre_2_3_L_Neg,-2,T0
Wein_51407_14_C_2_2_L_Neg,-2,6
Wein_51407_13_E_2_3_L_Neg,-2,10
Wein_51407_26_C_6_1_L_Neg,-6,6
Wein_51407_19_A_2_1_L_Neg,-2,2
