"","X10.T0","X2.T0","X4.T0","X6.T0","X8.T0","AveExpr","F","P.Value","adj.P.Val"
"PG(15:0/16:1)_B",3468300,3400000,3975000,3475000,3093300,5813600,4.9859,0.0019356,0.093206
"PG(16:1/17:1)_B",1240500,1157200,1262200,1218800,1003300,1796500,4.8084,0.0024078,0.093206
"PG(16:0/16:1)",11667000,10583000,12050000,10817000,8600000,21803000,4.4764,0.0036477,0.093206
"PE(16:0/17:0)_B",1510000,980000,1285000,1181700,1208300,3700800,4.2841,0.0046603,0.093206
"PG(16:1/16:1)",7511700,6563300,7255000,7538300,4825000,12454000,3.8847,0.0078327,0.12532
"PG(16:0/17:1)",2166700,2018300,2010000,2165000,1681700,3953600,3.662,0.010525,0.14033
"PG(16:0/17:0)",668670,567670,878330,756000,511330,1541000,3.4406,0.01418,0.16206
"PG(15:0/17:1)",768670,817830,1007700,910670,910000,1473800,3.1557,0.020932,0.20932
"PG(15:0/16:1)_A",2698300,3010000,3301700,2523300,1998300,5680300,2.8395,0.032492,0.28881
"PE(16:0/17:0)_A",971670,1115000,990000,886670,1101700,3014200,2.6501,0.042423,0.30912
"PG(15:0/16:0)_B",2876700,1613300,2063300,1841700,1871700,4927800,2.6487,0.042504,0.30912
